Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Least developed countries: UN classification,LDC,1065.67928021148
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Low & middle income,LMY,4846.21917865252
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Low income,LIC,796.023239486281
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lower middle income,LMC,2352.70827172931
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Middle East & North Africa,MEA,7556.05187651938
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Middle East & North Africa (excluding high income),MNA,4126.42517190921
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Middle East & North Africa (IDA & IBRD countries),TMN,4134.98202899403
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Middle income,MIC,5307.65976983699
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,North America,NAC,58113.1051653202
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Not classified,INX,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,OECD members,OED,37301.2244107274
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Other small states,OSS,12827.6797883815
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Pacific island small states,PSS,4088.46573964518
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Post-demographic dividend,PST,42800.3069431172
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Pre-demographic dividend,PRE,1534.65855120165
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Small states,SST,11788.3116102042
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Asia,SAS,1813.77782775868
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,South Asia (IDA & IBRD),TSA,1813.77782775868
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sub-Saharan Africa,SSF,1664.95222966645
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sub-Saharan Africa (excluding high income),SSA,1663.60940507166
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1664.95222966645
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Upper middle income,UMC,9176.55545148635
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,World,WLD,10853.1114937657
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
